TableName,Columns
AzureDevOpsUsageStats,"[""; Database; Table; StartedOn; LookbackPeriod; QueryCount""]"
AzureDevOpsUsersStats,"[""; StartedOn; ClientRequestId; RootActivityId; Principal; Database; Table; MinCreatedOn; MaxCreatedOn; User; Application""]"
CommitChange,"[""; OrganizationName; RepositoryId; CommitId; ItemObjectId; ProjectId; ChangeType; ItemGitObjectType; ItemIsFolder; ItemOriginalObjectId; ItemPath; SourceServerItem; EtlIngestDate; EtlProcessDate; EtlHashCode; EtlRecordSha; Data; EtlMetadata""]"
Area,"[""; OrganizationName; AreaId; AreaPath; ProjectId; ProjectName; ParentIdentifier; AreaIdentifier; AreaName; AreaDepth; HasChildren; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
BuildResource,"[""; OrganizationName; ProjectId; DefinitionId; BuildId; Type; Name; EtlProcessDate; Data; Hash; EtlMetadata; EtlIngestDate""]"
BuildYaml,"[""; OrganizationName; ProjectId; DefinitionId; YamlId; Index; EtlProcessDate; ParentIndex; Type; DisplayName; Data; EtlMetadata; EtlIngestDate""]"
BuildYamlMap,"[""; OrganizationName; ProjectId; DefinitionId; BuildId; YamlId; EtlProcessDate; EtlMetaData; EtlIngestDate""]"
ReleaseEnvironment,"[""; OrganizationName; ProjectId; ReleaseEnvironmentId; ReleaseEnvironmentName; ReleaseDefinitionEnvironmentId; ReleaseId; ReleaseName; ReleaseDefinitionId; ReleaseDefinitionName; ReleaseDefinitionPath; ModifiedOn; CreatedOn; EnvironmentOptionsAutoLinkWorkItems; EnvironmentOptionsBadgeEnabled; EnvironmentOptionsEmailNotificationType; EnvironmentOptionsEmailRecipients; EnvironmentOptionsEnableAccessToken; EnvironmentOptionsPublishDeploymentStatus; EnvironmentOptionsPullRequestDeploymentEnabled; EnvironmentOptionsSkipArtifactsDownload; EnvironmentOptionsTimeoutInMinutes; NextScheduledUtcTime; OwnerDisplayName; OwnerId; OwnerInactive; OwnerIsContainer; OwnerUniqueName; Rank; ReleaseCreatedByDescriptor; ReleaseCreatedByDisplayName; ReleaseCreatedById; ReleaseCreatedByIsContainer; ReleaseCreatedByUniqueName; Status; TimeToDeploy; TriggerReason; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
PushRefUpdate,"[""; OrganizationName; RepositoryId; PushId; RefName; NewObjectId; OldObjectId; ProjectId; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
BuildWorkItem,"[""; OrganizationName; ProjectId; BuildId; RepositoryId; WorkItemId; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
Push,"[""; OrganizationName; RepositoryId; PushId; PushDate; PushedByDisplayName; PushedById; PushedByUniqueName; RepositoryName; ProjectId; ProjectName; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
PushCommit,"[""; OrganizationName; RepositoryId; PushId; CommitId; ProjectId; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
BuildArtifact,"[""; OrganizationName; ProjectId; BuildId; BuildArtifactName; EtlProcessDate; RepositoryId; ResourceData; ResourceDownloadUrl; ResourcePropertiesTransactionId; ResourcePropertiesArtifactLocation; ResourcePropertiesArtifactName; ResourcePropertiesArtifactType; ResourcePropertiesBrowsable; ResourcePropertiesContainerFolder; ResourcePropertiesLocalPath; ResourcePropertiesType; ResourceType; ResourceUrl; Data; EtlMetadata; EtlIngestDate""]"
BuildChange,"[""; OrganizationName; ProjectId; RepositoryId; BuildId; BuildChangeId; EtlProcessDate; Message; Type; AuthorDisplayName; AuthorId; AuthorUniqueName; Timestamp; Location; Pusher; MessageTruncated; Data; EtlMetadata; EtlIngestDate""]"
PullRequestIterationChange,"[""; OrganizationName; ProjectId; RepositoryId; PullRequestId; PullRequestIterationId; ChangeId; ChangeTrackingId; ChangeType; ItemObjectId; ItemOriginalObjectId; ItemPath; OriginalPath; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
CodeCoverage,"[""; OrganizationName; ProjectId; RepositoryId; BuildId; EtlProcessDate; CodeCoverageFileUrl; ConfigurationFlavor; ConfigurationId; ConfigurationPlatform; ConfigurationUri; Data; EtlMetadata; EtlIngestDate""]"
PolicyEvaluation,"[""; OrganizationName; ArtifactId; EvaluationId; ProjectId; RepositoryId; PullRequestId; CompletedDate; ConfigurationCreatedByDisplayName; ConfigurationCreatedById; ConfigurationCreatedByUniqueName; ConfigurationCreatedDate; ConfigurationId; ConfigurationIsBlocking; ConfigurationIsEnabled; ConfigurationRevision; ConfigurationSettingsAddedFilesOnly; ConfigurationSettingsAllowDownvotes; ConfigurationSettingsAllowNoFastForward; ConfigurationSettingsAllowSquash; ConfigurationSettingsAuthorId; ConfigurationSettingsBuildDefinitionId; ConfigurationSettingsCreatorVoteCounts; ConfigurationSettingsDefaultDisplayName; ConfigurationSettingsDisplayName; ConfigurationSettingsFilenamePatterns; ConfigurationSettingsInvalidateOnSourceUpdate; ConfigurationSettingsManualQueueOnly; ConfigurationSettingsMessage; ConfigurationSettingsMinimumApproverCount; ConfigurationSettingsPolicyApplicability; ConfigurationSettingsQueueOnSourceUpdateOnly; ConfigurationSettingsRequiredReviewerIds; ConfigurationSettingsResetOnSourcePush; ConfigurationSettingsScope; ConfigurationSettingsStatusGenre; ConfigurationSettingsStatusName; ConfigurationSettingsUseSquashMerge; ConfigurationSettingsValidDuration; ConfigurationTypeDisplayName; ConfigurationTypeId; ConfigurationTypeUrl; ConfigurationUrl; ContextBuildAfterMerge; ContextBuildDefinitionId; ContextBuildId; ContextBuildIsNotCurrent; ContextBuildStartedUtc; ContextConflictHash; ContextConflictResolutionHash; ContextErrorCode; ContextIsExpired; ContextLastMergeCommitId; ContextLatestStatusId; ContextLinkedWorkItemIds; ContextSourceHead; ContextWasAutoRequeued; StartedDate; Status; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
CodeCoverageModule,"[""; OrganizationName; ProjectId; RepositoryId; BuildId; ModuleName; Signature; SignatureAge; EtlProcessDate; CodeCoverageFileUrl; ConfigurationFlavor; ConfigurationId; ConfigurationPlatform; ConfigurationUri; BlockCount; BlockData; FileUrl; StatisticsBlocksCovered; StatisticsBlocksNotCovered; StatisticsLinesCovered; StatisticsLinesNotCovered; StatisticsLinesPartiallyCovered; Data; EtlMetadata; EtlIngestDate""]"
PullRequestIterationCommit,"[""; OrganizationName; RepositoryId; PullRequestId; PullRequestIterationId; CommitId; EtlProcessDate; ProjectId; AuthorDate; AuthorEmail; AuthorName; CommitterDate; CommitterEmail; CommitterName; Comment; CommentTruncated; Data; EtlMetadata; EtlIngestDate; EtlCurrent""]"
PullRequestThreadComment,"[""; OrganizationName; RepositoryId; PullRequestId; PullRequestThreadId; PullRequestThreadCommentId; EtlProcessDate; ProjectId; AuthorDisplayName; AuthorId; AuthorIsContainer; AuthorUniqueName; CommentType; Content; IsDeleted; LastUpdatedDate; PublishedDate; ParentCommentId; Data; EtlMetadata; EtlIngestDate""]"
PullRequestThread,"[""; OrganizationName; RepositoryId; PullRequestId; PullRequestThreadId; EtlProcessDate; ProjectId; CodeReviewId; ArtifactUri; CommentsCount; IsDeleted; LastUpdatedDate; PublishedDate; Status; Data; EtlMetadata; EtlIngestDate""]"
PullRequest,"[""; OrganizationName; ProjectId; RepositoryId; PullRequestId; EtlProcessDate; CodeReviewId; ClosedDate; CompletionQueueTime; CompletionOptionsBypassPolicy; CompletionOptionsBypassReason; CompletionOptionsDeleteSourceBranch; CompletionOptionsMergeCommitMessage; CompletionOptionsSquashMerge; CompletionOptionsTransitionWorkItems; CreatedByDisplayName; CreatedById; CreatedByUniqueName; CreationDate; Description; LastMergeCommitId; LastMergeSourceCommitId; LastMergeTargetCommitId; MergeId; MergeStatus; RepositoryName; RepositoryProjectId; RepositoryProjectName; RepositoryProjectState; SourceRefName; Status; SupportsIterations; TargetRefName; Title; Data; EtlMetadata; EtlIngestDate""]"
PullRequestConflict,"[""; OrganizationName; RepositoryId; PullRequestId; ConflictId; EtlProcessDate; ProjectId; BaseBlobObjectId; BaseBlobSize; ConflictPath; ConflictType; MergeBaseCommitCommitId; MergeOriginPullRequestId; MergeSourceCommitCommitId; MergeTargetCommitCommitId; ResolutionAction; ResolutionMergeType; ResolutionUserMergedBlobObjectId; ResolutionUserMergedBlobSize; ResolutionStatus; ResolvedByDisplayName; ResolvedById; ResolvedByUniqueName; ResolvedDate; SourceBlobObjectId; SourceBlobSize; TargetBlobObjectId; TargetBlobSize; Data; EtlMetadata; EtlIngestDate""]"
BuildDefinition,"[""; OrganizationName; ProjectId; BuildDefinitionId; BuildDefinitionRevision; EtlProcessDate; RepositoryId; RepositoryName; BuildDefinitionName; Path; AuthoredByDescriptor; AuthoredByDisplayName; AuthoredById; AuthoredByIsContainer; AuthoredByUniqueName; CreatedDate; DefaultBranch; DraftOfId; DraftOfName; DraftOfProjectId; DraftOfProjectName; DraftOfProjectRevision; DraftOfProjectState; DraftOfProjectVisibility; DraftOfQueueStatus; DraftOfRevision; DraftOfType; DraftOfUri; ProjectName; ProjectRevision; ProjectState; Quality; QueueId; QueueName; QueuePoolId; QueuePoolIsHosted; QueuePoolName; QueueStatus; Type; Uri; BadgeEnabled; BuildNumberFormat; Comment; Description; JobAuthorizationScope; JobCancelTimeoutInMinutes; JobTimeoutInMinutes; ProcessType; ProcessYamlFilename; RepositoryCheckoutSubmodules; RepositoryClean; RepositoryDefaultBranch; RepositoryRootFolder; RepositoryType; RepositoryUrl; Options; Variables; Tags; Data; EtlMetadata; EtlIngestDate; EtlCurrent""]"
ReleaseArtifact,"[""; OrganizationName; ProjectId; ReleaseId; SourceId; Type; Alias; EtlProcessDate; DefinitionReferenceIsTriggeringArtifactId; DefinitionReferenceIsTriggeringArtifactName; DefinitionReferenceArtifactSourceDefinitionUrlId; DefinitionReferenceArtifactSourceVersionUrlId; DefinitionReferenceArtifactsName; DefinitionReferenceBranchId; DefinitionReferenceBranchName; DefinitionReferenceBranchesId; DefinitionReferenceBranchesName; DefinitionReferenceConnectionId; DefinitionReferenceConnectionName; DefinitionReferenceDefaultVersionTypeId; DefinitionReferenceDefaultVersionTypeName; DefinitionReferenceDefinitionId; DefinitionReferenceDefinitionName; DefinitionReferenceFeedId; DefinitionReferenceFeedName; DefinitionReferenceProjectId; DefinitionReferenceProjectName; DefinitionReferencePullRequestId; DefinitionReferencePullRequestIdName; DefinitionReferencePullRequestMergeCommitId; DefinitionReferencePullRequestMergeCommitIdName; DefinitionReferencePullRequestSourceBranchCommitId; DefinitionReferencePullRequestSourceBranchCommitIdName; DefinitionReferenceVersionId; DefinitionReferenceVersionName; IsPrimary; Data; EtlMetadata; EtlIngestDate""]"
WorkItemLink,"[""; SourceProjectId; SourceId; TargetProjectId; TargetId; Rel; EtlLinkRevision; EtlProcessDate; LinkType; ChangedByDisplayName; ChangedById; ChangedByUniqueName; ChangedDate; IsActive; ChangedOperation; Data; EtlMetadata; EtlIngestDate; EtlCurrent""]"
TestRun,"[""; OrganizationName; ProjectId; TestRunId; EtlProcessDate; Title; StartedDate; CompletedDate; ResultDurationSeconds; RunDurationSeconds; BranchName; BuildDefinitionId; BuildId; HasDetail; IsAutomated; ResultAbortedCount; ResultBlockedCount; ResultCount; ResultErrorCount; ResultFailCount; ResultInconclusiveCount; ResultNoneCount; ResultNotApplicableCount; ResultNotExecutedCount; ResultNotImpactedCount; ResultPassCount; ResultTimeoutCount; ResultWarningCount; TestRunType; Workflow; OrganizationId; Data; EtlIngestDate""]"
PullRequestIteration,"[""; OrganizationName; RepositoryId; PullRequestId; PullRequestIterationId; EtlProcessDate; ProjectId; CodeReviewId; AuthorDisplayName; AuthorId; AuthorUniqueName; CommonRefCommitId; CreatedDate; Description; HasMoreCommits; PushId; SourceRefCommitId; TargetRefCommitId; UpdatedDate; Data; EtlMetadata; EtlIngestDate""]"
IdentityMember,"[""; OrganizationName; ProjectId; IdentityId; Member; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
Identity,"[""; OrganizationName; ProjectId; IdentityId; EtlProcessDate; Descriptor; ProviderDisplayName; Data; EtlMetadata; EtlIngestDate""]"
Pool,"[""; OrganizationName; PoolId; EtlProcessDate; PoolName; CreatedOn; CreatedByDisplayName; CreatedById; CreatedByUniqueName; OwnerDisplayName; OwnerId; OwnerUniqueName; AutoProvision; AutoSize; IsHosted; PoolType; Scope; Size; Data; EtlMetadata; EtlIngestDate""]"
DistributedTaskGroupTasks,"[""; OrganizationName; ProjectId; DistributedTaskGroupId; VersionMajor; VersionMinor; VersionPatch; GroupTaskNumber; DisplayName; AlwaysRun; ContinueOnError; Condition; Enabled; TimeoutInMinutes; Inputs; TaskId; TaskVersionSpec; TaskDefinitionType; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
DistributedTaskQueue,"[""; OrganizationName; ProjectId; DistributedTaskQueueId; DistributedTaskQueueName; PoolId; PoolName; PoolIsHosted; PoolType; PoolScope; PoolSize; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
PolicyConfigurationRecency,"[""; OrganizationName; ProjectId; PolicyId; Revision; EtlLastUpdateDate""]"
BuildDefinitionRecency,"[""; OrganizationName; ProjectId; BuildDefinitionId; BuildDefinitionRevision; EtlLastUpdateDate""]"
ReleaseDefinitionRecency,"[""; OrganizationName; ProjectId; ReleaseDefinitionId; ReleaseDefinitionRevision; EtlLastUpdateDate""]"
ProjectProperties,"[""; OrganizationName; ProjectId; PropertyName; PropertyValue; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
Project,"[""; OrganizationName; ProjectId; ProjectName; Description; Revision; State; Visibility; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
Team,"[""; OrganizationName; ProjectId; TeamId; EtlProcessDate; TeamName; Description; Data; EtlMetadata; EtlIngestDate""]"
TeamFieldValues,"[""; OrganizationName; ProjectId; TeamId; FieldName; EtlProcessDate; DefaultValue; Url; Values; Data; EtlMetadata; EtlIngestDate""]"
TeamSettings,"[""; OrganizationName; ProjectId; TeamId; EtlProcessDate; BacklogIterationId; BacklogIterationName; BacklogIterationPath; BacklogIterationUrl; BugsBehavior; WorkingDays; BacklogVisibilities; DefaultIterationId; DefaultIterationName; DefaultIterationPath; DefaultIterationUrl; DefaultIterationMacro; Url; Data; EtlMetadata; EtlIngestDate""]"
TeamIterations,"[""; OrganizationName; ProjectId; TeamId; TeamIterationId; EtlProcessDate; Name; Path; AttributesStartDate; AttributesFinishDate; AttributesTimeFrame; Url; Data; EtlMetadata; EtlIngestDate""]"
TeamMember,"[""; OrganizationName; ProjectId; TeamId; IdentityId; EtlProcessDate; IdentityUniqueName; IdentityDisplayName; IdentityIsContainer; Data; EtlMetadata; EtlIngestDate""]"
AccessControlList,"[""; OrganizationName; SecurityNamespaceId; Token; Descriptor; EtlProcessDate; ProjectId; InheritPermissions; Allow; Deny; ExtendedInfoEffectiveAllow; ExtendedInfoEffectiveDeny; Data; EtlMetadata; EtlIngestDate""]"
PolicyConfiguration,"[""; OrganizationName; ProjectId; PolicyId; Revision; EtlProcessDate; PolicyType; DisplayName; CreatedByUniqueName; CreatedById; CreatedByDisplayName; CreatedDate; IsBlocking; IsEnabled; Settings; Data; EtlMetadata; EtlIngestDate""]"
PolicyConfigurationScopeReviewer,"[""; OrganizationName; ProjectId; PolicyId; Revision; RepositoryId; RefName; ReviewerId; EtlProcessDate; CreatedByUniqueName; CreatedDate; IsBlocking; IsEnabled; SettingsCreatorVoteCounts; SettingsMinimumApproverCount; MatchKind; Data; EtlMetadata; EtlIngestDate""]"
PullRequestReviewer,"[""; OrganizationName; ProjectId; RepositoryId; PullRequestId; ReviewerId; DisplayName; IsContainer; IsRequired; UniqueName; Vote; VotedFor; Data; EtlMetadata; EtlIngestDate; EtlProcessDate""]"
BuildDefinitionPhaseStep,"[""; OrganizationName; ProjectId; BuildDefinitionId; BuildDefinitionRevision; RefName; PhaseStepNumber; EtlProcessDate; TaskId; PhaseName; Condition; JobAuthorizationScope; JobCancelTimeoutInMinutes; JobTimeoutInMinutes; TargetAllowScriptsAuthAccessOption; TargetDemands; TargetExecutionOptionsContinueOnError; TargetExecutionOptionsMaxConcurrency; TargetExecutionOptionsMultipliers; TargetExecutionOptionsType; TargetQueueId; TargetQueueName; TargetQueuePoolId; TargetQueuePoolIsHosted; TargetQueuePoolName; TargetType; AlwaysRun; StepCondition; ContinueOnError; DisplayName; Enabled; StepRefName; TaskDefinitionType; TaskVersionSpec; TimeoutInMinutes; ProcessPhaseStepInput; Data; EtlMetadata; EtlIngestDate; EtlCurrent""]"
